Zeit(s) T_Probe(K) T_Becher(K)
421.780	81.049	81.032
423.588	81.058	81.044
425.391	81.069	81.055
427.200	81.077	81.068
429.008	81.088	81.078
430.812	81.099	81.091
432.620	81.105	81.102
434.427	81.115	81.115
436.233	81.124	81.129
438.089	81.133	81.140
439.899	81.142	81.153
441.708	81.152	81.164
443.510	81.158	81.177
445.387	81.170	81.190
447.190	81.174	81.201
448.994	81.185	81.213
450.802	81.194	81.225
452.610	81.201	81.237
454.415	81.214	81.251
456.224	81.223	81.261
458.029	81.231	81.274
459.838	81.243	81.286
461.649	81.253	81.297
463.455	81.263	81.309
465.262	81.276	81.323
467.069	81.286	81.333
468.880	81.296	81.347
470.692	81.311	81.358
472.502	81.324	81.371
474.305	81.336	81.381
476.112	81.351	81.396
477.922	81.367	81.406
479.734	81.382	81.417
481.544	81.397	81.430
483.346	81.410	81.442
485.159	81.427	81.455
486.965	81.442	81.465
488.781	81.458	81.478
490.596	81.475	81.490
492.433	81.492	81.503
494.242	81.507	81.515
496.044	81.525	81.527
497.852	81.540	81.538
499.661	81.553	81.550
501.465	81.569	81.562
503.273	81.582	81.573
505.082	81.596	81.586
506.885	81.610	81.598
508.692	81.623	81.610
510.502	81.634	81.621
512.322	81.647	81.633
514.129	81.657	81.645
515.941	81.669	81.656
517.751	81.679	81.669
519.557	81.690	81.681
521.367	81.699	81.693
523.177	81.707	81.705
524.983	81.717	81.718
526.792	81.725	81.729
528.605	81.735	81.740
530.455	81.743	81.752
532.266	81.752	81.762
534.067	81.761	81.776
535.877	81.770	81.788
537.689	81.781	81.799
539.494	81.792	81.812
541.317	81.802	81.822
543.125	81.813	81.835
544.926	81.823	81.846
546.730	81.833	81.858
548.538	81.845	81.870
550.402	81.858	81.883
552.213	81.870	81.894
554.018	81.882	81.906
555.826	81.895	81.917
557.633	81.907	81.928
559.435	81.920	81.942
561.248	81.934	81.953
563.121	81.946	81.966
564.929	81.958	81.977
566.735	81.973	81.987
568.545	81.985	82.000
570.351	81.998	82.012
572.157	82.012	82.024
573.966	82.026	82.036
575.774	82.038	82.049
577.581	82.050	82.060
579.391	82.065	82.071
581.274	82.077	82.083
583.080	82.090	82.095
584.887	82.102	82.107
586.689	82.116	82.119
588.498	82.127	82.130
590.314	82.139	82.141
592.119	82.150	82.154
593.928	82.161	82.166
595.732	82.171	82.177
597.540	82.183	82.189
599.348	82.193	82.201
601.156	82.202	82.212
602.957	82.213	82.223
604.765	82.221	82.236
606.575	82.231	82.248
608.382	82.242	82.258
610.188	82.250	82.270
612.000	82.261	82.281
613.810	82.272	82.293
615.620	82.279	82.305
617.429	82.293	82.317
619.242	82.300	82.329
621.046	82.314	82.340
622.852	82.323	82.351
624.662	82.333	82.363
626.469	82.346	82.373
628.272	82.356	82.386
630.082	82.369	82.398
631.886	82.382	82.408
633.693	82.392	82.422
635.507	82.404	82.432
637.312	82.417	82.443
639.118	82.429	82.456
640.928	82.442	82.466
642.730	82.453	82.478
644.539	82.464	82.491
646.351	82.478	82.502
648.159	82.493	82.514
649.965	82.505	82.524
651.774	82.519	82.537
653.578	82.531	82.548
655.386	82.544	82.560
657.199	82.558	82.571
659.007	82.571	82.582
660.813	82.584	82.595
662.624	82.599	82.605
664.433	82.612	82.618
666.235	82.626	82.630
668.045	82.638	82.641
669.854	82.652	82.651
671.663	82.664	82.663
673.477	82.676	82.674
675.288	82.689	82.687
677.096	82.701	82.697
678.903	82.713	82.711
680.715	82.724	82.721
682.524	82.734	82.730
684.329	82.747	82.745
686.138	82.757	82.756
687.947	82.768	82.766
